-91.76976, 37.95986, Denny's, USA-United States
-108.67576, 35.53055, Denny's, USA-United States
-98.28851, 26.19602, Denny's, USA-United States
-82.91516, 42.53095, Denny's, USA-United States
-80.69928, 28.35676, Denny's, USA-United States
-121.42888, 38.47444, Denny's, USA-United States
-118.24527, 34.11414, Denny's, USA-United States
-121.62203, 36.66076, Denny's, USA-United States
-81.36421, 28.45249, Denny's, USA-United States
-112.21230, 35.24514, Denny's, USA-United States
-121.83872, 38.00275, Denny's, USA-United States
-118.40025, 33.98685, Denny's, USA-United States
-72.57717, 42.17065, Denny's, USA-United States
-121.43498, 37.76366, Denny's, USA-United States
-71.58971, 41.70090, Denny's, USA-United States
-77.32468, 37.26212, Denny's, USA-United States
-118.16061, 33.83224, Denny's, USA-United States
-119.04333, 35.38414, Denny's, USA-United States
-97.17527, 33.23187, Denny's, USA-United States
-94.36209, 38.91455, Denny's, USA-United States
-119.34946, 36.32907, Denny's, USA-United States
-116.78064, 47.69828, Denny's, USA-United States
-119.82460, 36.80850, Denny's, USA-United States
-117.87920, 33.87787, Denny's, USA-United States
-80.31538, 25.80957, Denny's, USA-United States
-82.14435, 27.01231, Denny's, USA-United States
-94.41484, 39.04931, Denny's, USA-United States
-118.36132, 33.90176, Denny's, USA-United States
-118.23178, 34.05470, Denny's, USA-United States
-95.43016, 29.77845, Denny's, USA-United States
-81.45517, 41.53915, Denny's, USA-United States
-112.04720, 33.50910, Denny's, USA-United States
-122.23074, 38.12415, Denny's, USA-United States
-112.23103, 33.63794, Denny's, USA-United States
-117.29011, 33.04857, Denny's, USA-United States
-95.09212, 29.50447, Denny's, USA-United States
-95.59849, 29.73605, Denny's, USA-United States
-122.47090, 37.67495, Denny's, USA-United States
-155.98906, 19.64655, Denny's, USA-United States
-87.86178, 41.96657, Denny's, USA-United States
-95.64354, 29.67709, Denny's, USA-United States
-86.00986, 39.80380, Denny's, USA-United States
-106.51635, 35.10908, Denny's, USA-United States
-117.21888, 33.78245, Denny's, USA-United States
-116.97803, 32.79504, Denny's, USA-United States
-81.20530, 28.56681, Denny's, USA-United States
-98.56068, 29.52922, Denny's, USA-United States
-120.97435, 37.60898, Denny's, USA-United States
-87.95108, 41.84678, Denny's, USA-United States
-81.57590, 40.00578, Denny's, USA-United States
-81.50582, 28.38510, Denny's, USA-United States
-78.75163, 42.79795, Denny's, USA-United States
-122.89562, 46.14501, Denny's, USA-United States
-90.28835, 38.62381, Denny's, USA-United States
-81.46196, 28.42499, Denny's, USA-United States
-76.05998, 38.78203, Denny's, USA-United States
-122.29592, 47.43610, Denny's, USA-United States
-81.42907, 28.30472, Denny's, USA-United States
-78.81740, 42.99104, Denny's, USA-United States
-98.18700, 26.30513, Denny's, USA-United States
-121.31320, 37.99177, Denny's, USA-United States
-76.43216, 41.02656, Denny's, USA-United States
-121.13748, 36.20530, Denny's, USA-United States
-112.11908, 33.63970, Denny's, USA-United States
-117.16775, 32.87848, Denny's, USA-United States
-115.50053, 32.69384, Denny's, USA-United States
-116.92111, 47.71199, Denny's, USA-United States
-121.74861, 38.67709, Denny's, USA-United States
-90.05118, 35.14269, Denny's, USA-United States
-89.52491, 43.09034, Denny's, USA-United States
