-111.87147, 40.76470, Chevron, USA-(UT) Salt Lake City, 210 S 700 E
-113.30008, 37.17625, Chevron, USA-(UT) Hurricane, 687 W State St
-115.29677, 36.10041, Chevron, USA-(NV) Las Vegas, 9380 W Tropicana Ave
-115.20763, 36.12594, Chevron, USA-(NV) Las Vegas, 4895 W Spring Mountain
-115.24952, 36.26260, Chevron, USA-(NV) Las Vegas, 7171 W Ann Rd
-115.14429, 36.23915, Chevron, USA-(NV) North Las Vegas, 335 W Craig Rd
-111.72701, 40.27551, Chevron, USA-(UT) Orem, 1308 W University Pkwy
-112.43525, 37.82253, Chevron, USA-(UT) Panguitch, 10 E Center St
-111.39899, 40.91660, Chevron, USA-(UT) Coalville, 5 N Main St
-115.33269, 36.15951, Chevron, USA-(NV) Las Vegas, 10890 W Charleston Blvd
-115.32229, 36.15958, Chevron, USA-(NV) Las Vegas, 10490 Charleston Blvd
-115.17345, 36.07407, Chevron, USA-(NV) Las Vegas, 6176 S Las Vegas Blvd
-115.16127, 36.17740, Chevron, USA-(NV) Las Vegas, 1500 W Bonanza Rd
-115.29786, 36.09969, Chevron, USA-(NV) Las Vegas, 9415 W Tropicana Ave
-115.20637, 36.16629, Chevron, USA-(NV) Las Vegas, 500 S Decatur Blvd
-115.17076, 36.04193, Chevron, USA-(NV) Las Vegas, 8132 S Las Vegas Blvd
-119.74996, 39.17258, Chevron, USA-(NV) Carson City, 1400 Rand Ave
-115.35169, 36.16045, Chevron, USA-(NV) Las Vegas, 1051 Desert Foothills Dr
-115.08282, 36.07136, Chevron, USA-(NV) Henderson, 4190 E Sunset Rd
-113.00733, 37.17874, Chevron, USA-(UT) Springdale, 1593 Zion Park Blvd
-115.17484, 36.17681, Chevron, USA-(NV) Las Vegas, 330 N Rancho Dr
-111.88776, 40.67395, Chevron, USA-(UT) Murray, 4503 S State St
-114.57429, 35.16155, Chevron, USA-(NV) Laughlin, 2010 S Casino Dr
-115.12884, 36.19546, Chevron, USA-(NV) Las Vegas, 1003 E Lake Mead Blvd
-111.85443, 40.72503, Chevron, USA-(UT) Salt Lake City, 2110 S 1300 E
-112.60516, 38.61305, Chevron, USA-(UT) Cove Fort, 17030 S Hwy 161
-115.26155, 36.14402, Chevron, USA-(NV) Las Vegas, 7800 W Sahara Ave
-111.98603, 40.58743, Chevron, USA-(UT) West Jordan, 3963 W 9000 S
-112.06273, 40.69686, Chevron, USA-(UT) West Valley City, 7198 W 3500 S
-115.17180, 36.05653, Chevron, USA-(NV) Las Vegas, 7310 S Las Vegas Blvd
-114.86320, 39.25708, Chevron, USA-(NV) Ely, 1301 E Aultman St
-111.98623, 40.69701, Chevron, USA-(UT) West Valley City, 3984 W 3500 S
-115.66772, 36.57839, Chevron, USA-(NV) Indian Springs, N Frontage Rd
-119.88130, 39.64209, Chevron, USA-(NV) Reno, 13900 Stead Blvd
-111.88243, 40.69952, Chevron, USA-(UT) Salt Lake City, 310 E 3300 S
-115.11842, 36.08582, Chevron, USA-(NV) Las Vegas, 5722 S Eastern Ave
-113.38963, 37.16204, Chevron, USA-(UT) Hurricane, 4390 W State St
-111.90600, 40.84168, Chevron, USA-(UT) Salt Lake City, 10 S Orchard Dr N
-119.54815, 38.69655, Chevron, USA-(NV) Gardnerville, 1979 Hwy 395
-117.71863, 41.99525, Chevron, USA-(NV) McDermitt, 195 Hwy 95
-115.26000, 36.21858, Chevron, USA-(NV) Las Vegas, 7500 W Cheyenne Ave
-115.39168, 35.60966, Chevron, USA-(NV) Primm, 115 W Primm Blvd
-111.83348, 41.76635, Chevron, USA-(UT) North Logan, 1936 N Main St
-111.89325, 40.86486, Chevron, USA-(UT) Bountiful, 2301 S Main St
-111.89437, 40.75809, Chevron, USA-(UT) Salt Lake City, 504 S West Temple
-115.27858, 36.11456, Chevron, USA-(NV) Las Vegas, 4150 S Durango Dr
-119.88256, 39.62442, Chevron, USA-(NV) Reno, 10585 Stead Blvd
-115.20639, 36.17040, Chevron, USA-(NV) Las Vegas, 298 S Decatur Rd
-115.25191, 36.21855, Chevron, USA-(NV) Las Vegas, 7300 W Cheyenne Ave
-111.93941, 40.70305, Chevron, USA-(UT) West Valley City, 3140 Redwood Rd
